Day Book — Saraswati Automobiles Pvt Ltd · the whole company · 01/04/2026 to 31/03/2027

Date,Voucher,No,Branch,Account,Narration,Party,Debit,Credit,Status
14/09/2026,SALES,102,DEL-SAR-DWK,2320 Insurance Premium Payable,Insurance (1+5),Sanjay Pillai,,"₹ 6,240.00",POSTED
14/09/2026,SALES,102,DEL-SAR-DWK,5100 Cost of Goods Sold — Vehicles,Cost of Splendor Plus NET-CH-0004,,"₹ 62,500.00",,POSTED
14/09/2026,SALES,102,DEL-SAR-DWK,1200 Vehicle Stock,NET-CH-0004,,,"₹ 62,500.00",POSTED
14/09/2026,RECEIPT,20,DEL-SAR-DWK,1400 Cash,CASH from Sanjay Pillai,,"₹ 5,000.00",,POSTED
14/09/2026,RECEIPT,20,DEL-SAR-DWK,1100 Sundry Debtors,Against bill(s),Sanjay Pillai,,"₹ 5,000.00",POSTED
14/09/2026,RECEIPT,21,DEL-SAR-DWK,1500 Bank Accounts,FINANCIER from Sanjay Pillai,,"₹ 73,568.00",,POSTED
14/09/2026,RECEIPT,21,DEL-SAR-DWK,1100 Sundry Debtors,Against bill(s),Sanjay Pillai,,"₹ 73,568.00",POSTED
14/09/2026,RECEIPT,22,DEL-SAR-DWK,1400 Cash,CASH from Sanjay Pillai,,"₹ 18,392.00",,POSTED
14/09/2026,RECEIPT,22,DEL-SAR-DWK,1100 Sundry Debtors,Against bill(s),Sanjay Pillai,,"₹ 18,392.00",POSTED
16/09/2026,SALES,24,DEL-SAR-OKHLA,1100 Sundry Debtors,Service invoice SRV/2026-27/0002,,"₹ 2,383.60",,POSTED
16/09/2026,SALES,24,DEL-SAR-OKHLA,4300 Labour Income,Labour,,,₹ 900.00,POSTED
16/09/2026,SALES,24,DEL-SAR-OKHLA,4200 Spare Parts Sales,Parts,,,"₹ 1,120.00",POSTED
16/09/2026,SALES,24,DEL-SAR-OKHLA,2200 Output CGST,,,,₹ 181.80,POSTED
16/09/2026,SALES,24,DEL-SAR-OKHLA,2210 Output SGST,,,,₹ 181.80,POSTED
16/09/2026,SALES,24,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,₹ 715.00,,POSTED
16/09/2026,SALES,24,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,₹ 715.00,POSTED
16/09/2026,SALES,55,DEL-SAR-OKHLA,1100 Sundry Debtors,Service invoice SRV/2026-27/0002,,"₹ 2,383.60",,POSTED
16/09/2026,SALES,55,DEL-SAR-OKHLA,4300 Labour Income,Labour,,,₹ 900.00,POSTED
16/09/2026,SALES,55,DEL-SAR-OKHLA,4200 Spare Parts Sales,Parts,,,"₹ 1,120.00",POSTED
16/09/2026,SALES,55,DEL-SAR-OKHLA,2200 Output CGST,,,,₹ 181.80,POSTED
16/09/2026,SALES,55,DEL-SAR-OKHLA,2210 Output SGST,,,,₹ 181.80,POSTED
16/09/2026,SALES,55,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,₹ 715.00,,POSTED
16/09/2026,SALES,55,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,₹ 715.00,POSTED
16/09/2026,SALES,86,DEL-SAR-OKHLA,1100 Sundry Debtors,Service invoice SRV/2026-27/0002,,"₹ 2,383.60",,POSTED
16/09/2026,SALES,86,DEL-SAR-OKHLA,4300 Labour Income,Labour,,,₹ 900.00,POSTED
16/09/2026,SALES,86,DEL-SAR-OKHLA,4200 Spare Parts Sales,Parts,,,"₹ 1,120.00",POSTED
16/09/2026,SALES,86,DEL-SAR-OKHLA,2200 Output CGST,,,,₹ 181.80,POSTED
16/09/2026,SALES,86,DEL-SAR-OKHLA,2210 Output SGST,,,,₹ 181.80,POSTED
16/09/2026,SALES,86,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,₹ 715.00,,POSTED
16/09/2026,SALES,86,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,₹ 715.00,POSTED
16/09/2026,SALES,117,DEL-SAR-OKHLA,1100 Sundry Debtors,Service invoice SRV/2026-27/0002,,"₹ 2,383.60",,POSTED
16/09/2026,SALES,117,DEL-SAR-OKHLA,4300 Labour Income,Labour,,,₹ 900.00,POSTED
16/09/2026,SALES,117,DEL-SAR-OKHLA,4200 Spare Parts Sales,Parts,,,"₹ 1,120.00",POSTED
16/09/2026,SALES,117,DEL-SAR-OKHLA,2200 Output CGST,,,,₹ 181.80,POSTED
16/09/2026,SALES,117,DEL-SAR-OKHLA,2210 Output SGST,,,,₹ 181.80,POSTED
16/09/2026,SALES,117,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,₹ 715.00,,POSTED
16/09/2026,SALES,117,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,₹ 715.00,POSTED
19/09/2026,SALES,96,DEL-SAR-JANAK,1100 Sundry Debtors,Sale SC-2627-00006,Kapil Dogra,"₹ 1,02,310.00",,POSTED
19/09/2026,SALES,96,DEL-SAR-JANAK,4100 Vehicle Sales,Destini 125,,,"₹ 74,296.61",POSTED
19/09/2026,SALES,96,DEL-SAR-JANAK,2200 Output CGST,,,,"₹ 6,686.70",POSTED
19/09/2026,SALES,96,DEL-SAR-JANAK,2210 Output SGST,,,,"₹ 6,686.69",POSTED
19/09/2026,SALES,96,DEL-SAR-JANAK,2300 Road Tax Payable,Registration and road tax,Kapil Dogra,,"₹ 8,400.00",POSTED
19/09/2026,SALES,96,DEL-SAR-JANAK,2320 Insurance Premium Payable,Insurance (1+5),Kapil Dogra,,"₹ 6,240.00",POSTED
19/09/2026,SALES,96,DEL-SAR-JANAK,5100 Cost of Goods Sold — Vehicles,Cost of Destini 125 NET-CH-0015,,"₹ 66,400.00",,POSTED
19/09/2026,SALES,96,DEL-SAR-JANAK,1200 Vehicle Stock,NET-CH-0015,,,"₹ 66,400.00",POSTED
19/09/2026,RECEIPT,7,DEL-SAR-JANAK,1400 Cash,CASH from Kapil Dogra,,"₹ 5,000.00",,POSTED
19/09/2026,RECEIPT,7,DEL-SAR-JANAK,1100 Sundry Debtors,Against bill(s),Kapil Dogra,,"₹ 5,000.00",POSTED
19/09/2026,RECEIPT,8,DEL-SAR-JANAK,1500 Bank Accounts,FINANCIER from Kapil Dogra,,"₹ 77,848.00",,POSTED
19/09/2026,RECEIPT,8,DEL-SAR-JANAK,1100 Sundry Debtors,Against bill(s),Kapil Dogra,,"₹ 77,848.00",POSTED
27/09/2026,SALES,103,DEL-SAR-DWK,1100 Sundry Debtors,Sale SC-2627-00013,Anjali Bisht,"₹ 1,02,310.00",,POSTED
27/09/2026,SALES,103,DEL-SAR-DWK,4100 Vehicle Sales,Destini 125,,,"₹ 74,296.61",POSTED
27/09/2026,SALES,103,DEL-SAR-DWK,2200 Output CGST,,,,"₹ 6,686.70",POSTED
27/09/2026,SALES,103,DEL-SAR-DWK,2210 Output SGST,,,,"₹ 6,686.69",POSTED
27/09/2026,SALES,103,DEL-SAR-DWK,2300 Road Tax Payable,Registration and road tax,Anjali Bisht,,"₹ 8,400.00",POSTED
27/09/2026,SALES,103,DEL-SAR-DWK,2320 Insurance Premium Payable,Insurance (1+5),Anjali Bisht,,"₹ 6,240.00",POSTED
27/09/2026,SALES,103,DEL-SAR-DWK,5100 Cost of Goods Sold — Vehicles,Cost of Destini 125 NET-CH-0017,,"₹ 66,400.00",,POSTED
27/09/2026,SALES,103,DEL-SAR-DWK,1200 Vehicle Stock,NET-CH-0017,,,"₹ 66,400.00",POSTED
27/09/2026,RECEIPT,23,DEL-SAR-DWK,1400 Cash,CASH from Anjali Bisht,,"₹ 5,000.00",,POSTED
27/09/2026,RECEIPT,23,DEL-SAR-DWK,1100 Sundry Debtors,Against bill(s),Anjali Bisht,,"₹ 5,000.00",POSTED
27/09/2026,RECEIPT,24,DEL-SAR-DWK,1500 Bank Accounts,FINANCIER from Anjali Bisht,,"₹ 77,848.00",,POSTED
27/09/2026,RECEIPT,24,DEL-SAR-DWK,1100 Sundry Debtors,Against bill(s),Anjali Bisht,,"₹ 77,848.00",POSTED
27/09/2026,RECEIPT,25,DEL-SAR-DWK,1400 Cash,CASH from Anjali Bisht,,"₹ 19,462.00",,POSTED
27/09/2026,RECEIPT,25,DEL-SAR-DWK,1100 Sundry Debtors,Against bill(s),Anjali Bisht,,"₹ 19,462.00",POSTED
29/09/2026,SALES,25,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,₹ 305.00,,POSTED
29/09/2026,SALES,25,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,₹ 305.00,POSTED
29/09/2026,SALES,56,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,₹ 305.00,,POSTED
29/09/2026,SALES,56,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,₹ 305.00,POSTED
29/09/2026,SALES,87,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,₹ 305.00,,POSTED
29/09/2026,SALES,87,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,₹ 305.00,POSTED
29/09/2026,SALES,118,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,₹ 305.00,,POSTED
29/09/2026,SALES,118,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,₹ 305.00,POSTED
05/10/2026,PURCHASE,2,DEL-SARASWATI,1200 Vehicle Stock,NET/HMC/2026/1002 — goods received,,"₹ 14,90,100.00",,POSTED
05/10/2026,PURCHASE,2,DEL-SARASWATI,1200 Vehicle Stock,Freight,,"₹ 4,000.00",,POSTED
05/10/2026,PURCHASE,2,DEL-SARASWATI,1620 Input IGST,Input IGST,,"₹ 3,26,067.00",,POSTED
05/10/2026,PURCHASE,2,DEL-SARASWATI,2100 Sundry Creditors,Payable to supplier on NET/HMC/2026/1002,,,"₹ 18,20,167.00",POSTED
07/10/2026,SALES,26,DEL-SAR-OKHLA,1100 Sundry Debtors,Service invoice SRV/2026-27/0004,,"₹ 2,383.60",,POSTED
07/10/2026,SALES,26,DEL-SAR-OKHLA,4300 Labour Income,Labour,,,₹ 900.00,POSTED
07/10/2026,SALES,26,DEL-SAR-OKHLA,4200 Spare Parts Sales,Parts,,,"₹ 1,120.00",POSTED
07/10/2026,SALES,26,DEL-SAR-OKHLA,2200 Output CGST,,,,₹ 181.80,POSTED
07/10/2026,SALES,26,DEL-SAR-OKHLA,2210 Output SGST,,,,₹ 181.80,POSTED
07/10/2026,SALES,26,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,₹ 715.00,,POSTED
07/10/2026,SALES,26,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,₹ 715.00,POSTED
07/10/2026,SALES,57,DEL-SAR-OKHLA,1100 Sundry Debtors,Service invoice SRV/2026-27/0004,,"₹ 2,383.60",,POSTED
07/10/2026,SALES,57,DEL-SAR-OKHLA,4300 Labour Income,Labour,,,₹ 900.00,POSTED
07/10/2026,SALES,57,DEL-SAR-OKHLA,4200 Spare Parts Sales,Parts,,,"₹ 1,120.00",POSTED
07/10/2026,SALES,57,DEL-SAR-OKHLA,2200 Output CGST,,,,₹ 181.80,POSTED
07/10/2026,SALES,57,DEL-SAR-OKHLA,2210 Output SGST,,,,₹ 181.80,POSTED
07/10/2026,SALES,57,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,₹ 715.00,,POSTED
07/10/2026,SALES,57,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,₹ 715.00,POSTED
07/10/2026,SALES,88,DEL-SAR-OKHLA,1100 Sundry Debtors,Service invoice SRV/2026-27/0004,,"₹ 2,383.60",,POSTED
07/10/2026,SALES,88,DEL-SAR-OKHLA,4300 Labour Income,Labour,,,₹ 900.00,POSTED
07/10/2026,SALES,88,DEL-SAR-OKHLA,4200 Spare Parts Sales,Parts,,,"₹ 1,120.00",POSTED
07/10/2026,SALES,88,DEL-SAR-OKHLA,2200 Output CGST,,,,₹ 181.80,POSTED
07/10/2026,SALES,88,DEL-SAR-OKHLA,2210 Output SGST,,,,₹ 181.80,POSTED
07/10/2026,SALES,88,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,₹ 715.00,,POSTED
07/10/2026,SALES,88,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,₹ 715.00,POSTED
07/10/2026,SALES,119,DEL-SAR-OKHLA,1100 Sundry Debtors,Service invoice SRV/2026-27/0004,,"₹ 2,383.60",,POSTED
07/10/2026,SALES,119,DEL-SAR-OKHLA,4300 Labour Income,Labour,,,₹ 900.00,POSTED
07/10/2026,SALES,119,DEL-SAR-OKHLA,4200 Spare Parts Sales,Parts,,,"₹ 1,120.00",POSTED
07/10/2026,SALES,119,DEL-SAR-OKHLA,2200 Output CGST,,,,₹ 181.80,POSTED
07/10/2026,SALES,119,DEL-SAR-OKHLA,2210 Output SGST,,,,₹ 181.80,POSTED
07/10/2026,SALES,119,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,₹ 715.00,,POSTED
07/10/2026,SALES,119,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,₹ 715.00,POSTED
08/10/2026,SALES,97,DEL-SAR-JANAK,1100 Sundry Debtors,Sale SC-2627-00007,Nisha Tandon,"₹ 96,960.00",,POSTED
08/10/2026,SALES,97,DEL-SAR-JANAK,4100 Vehicle Sales,Splendor Plus,,,"₹ 69,762.71",POSTED
08/10/2026,SALES,97,DEL-SAR-JANAK,2200 Output CGST,,,,"₹ 6,278.65",POSTED
08/10/2026,SALES,97,DEL-SAR-JANAK,2210 Output SGST,,,,"₹ 6,278.64",POSTED
08/10/2026,SALES,97,DEL-SAR-JANAK,2300 Road Tax Payable,Registration and road tax,Nisha Tandon,,"₹ 8,400.00",POSTED
08/10/2026,SALES,97,DEL-SAR-JANAK,2320 Insurance Premium Payable,Insurance (1+5),Nisha Tandon,,"₹ 6,240.00",POSTED
08/10/2026,SALES,97,DEL-SAR-JANAK,5100 Cost of Goods Sold — Vehicles,Cost of Splendor Plus NET-CH-0002,,"₹ 62,500.00",,POSTED
08/10/2026,SALES,97,DEL-SAR-JANAK,1200 Vehicle Stock,NET-CH-0002,,,"₹ 62,500.00",POSTED
08/10/2026,RECEIPT,9,DEL-SAR-JANAK,1400 Cash,CASH from Nisha Tandon,,"₹ 5,000.00",,POSTED
08/10/2026,RECEIPT,9,DEL-SAR-JANAK,1100 Sundry Debtors,Against bill(s),Nisha Tandon,,"₹ 5,000.00",POSTED
08/10/2026,RECEIPT,10,DEL-SAR-JANAK,1500 Bank Accounts,FINANCIER from Nisha Tandon,,"₹ 73,568.00",,POSTED
08/10/2026,RECEIPT,10,DEL-SAR-JANAK,1100 Sundry Debtors,Against bill(s),Nisha Tandon,,"₹ 73,568.00",POSTED
08/10/2026,RECEIPT,11,DEL-SAR-JANAK,1400 Cash,CASH from Nisha Tandon,,"₹ 18,392.00",,POSTED
08/10/2026,RECEIPT,11,DEL-SAR-JANAK,1100 Sundry Debtors,Against bill(s),Nisha Tandon,,"₹ 18,392.00",POSTED
12/10/2026,SALES,104,DEL-SAR-DWK,1100 Sundry Debtors,Sale SC-2627-00014,Mohit Sehgal,"₹ 79,430.00",,POSTED
12/10/2026,SALES,104,DEL-SAR-DWK,4100 Vehicle Sales,HF Deluxe,,,"₹ 54,906.78",POSTED
12/10/2026,SALES,104,DEL-SAR-DWK,2200 Output CGST,,,,"₹ 4,941.61",POSTED
12/10/2026,SALES,104,DEL-SAR-DWK,2210 Output SGST,,,,"₹ 4,941.61",POSTED
12/10/2026,SALES,104,DEL-SAR-DWK,2300 Road Tax Payable,Registration and road tax,Mohit Sehgal,,"₹ 8,400.00",POSTED
12/10/2026,SALES,104,DEL-SAR-DWK,2320 Insurance Premium Payable,Insurance (1+5),Mohit Sehgal,,"₹ 6,240.00",POSTED
12/10/2026,SALES,104,DEL-SAR-DWK,5100 Cost of Goods Sold — Vehicles,Cost of HF Deluxe NET-CH-0011,,"₹ 49,200.00",,POSTED
12/10/2026,SALES,104,DEL-SAR-DWK,1200 Vehicle Stock,NET-CH-0011,,,"₹ 49,200.00",POSTED
12/10/2026,RECEIPT,26,DEL-SAR-DWK,1400 Cash,CASH from Mohit Sehgal,,"₹ 5,000.00",,POSTED
12/10/2026,RECEIPT,26,DEL-SAR-DWK,1100 Sundry Debtors,Against bill(s),Mohit Sehgal,,"₹ 5,000.00",POSTED
12/10/2026,RECEIPT,27,DEL-SAR-DWK,1500 Bank Accounts,FINANCIER from Mohit Sehgal,,"₹ 59,544.00",,POSTED
12/10/2026,RECEIPT,27,DEL-SAR-DWK,1100 Sundry Debtors,Against bill(s),Mohit Sehgal,,"₹ 59,544.00",POSTED
14/10/2026,SALES,113,DEL-SARASWATI,1100 Sundry Debtors,Sale SC-2627-00023,Zubair Ahmed,"₹ 96,960.00",,POSTED
14/10/2026,SALES,113,DEL-SARASWATI,4100 Vehicle Sales,Splendor Plus,,,"₹ 69,762.71",POSTED
14/10/2026,SALES,113,DEL-SARASWATI,2200 Output CGST,,,,"₹ 6,278.65",POSTED
14/10/2026,SALES,113,DEL-SARASWATI,2210 Output SGST,,,,"₹ 6,278.64",POSTED
14/10/2026,SALES,113,DEL-SARASWATI,2300 Road Tax Payable,Registration and road tax,Zubair Ahmed,,"₹ 8,400.00",POSTED
14/10/2026,SALES,113,DEL-SARASWATI,2320 Insurance Premium Payable,Insurance (1+5),Zubair Ahmed,,"₹ 6,240.00",POSTED
14/10/2026,SALES,113,DEL-SARASWATI,5100 Cost of Goods Sold — Vehicles,Cost of Splendor Plus NET-CH-0022,,"₹ 62,500.00",,POSTED
14/10/2026,SALES,113,DEL-SARASWATI,1200 Vehicle Stock,NET-CH-0022,,,"₹ 62,500.00",POSTED
14/10/2026,RECEIPT,48,DEL-SARASWATI,1400 Cash,CASH from Zubair Ahmed,,"₹ 5,000.00",,POSTED
14/10/2026,RECEIPT,48,DEL-SARASWATI,1100 Sundry Debtors,Against bill(s),Zubair Ahmed,,"₹ 5,000.00",POSTED
14/10/2026,RECEIPT,49,DEL-SARASWATI,1500 Bank Accounts,FINANCIER from Zubair Ahmed,,"₹ 73,568.00",,POSTED
14/10/2026,RECEIPT,49,DEL-SARASWATI,1100 Sundry Debtors,Against bill(s),Zubair Ahmed,,"₹ 73,568.00",POSTED
15/10/2026,SALES,27,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,"₹ 1,180.00",,POSTED
15/10/2026,SALES,27,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,"₹ 1,180.00",POSTED
15/10/2026,SALES,58,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,"₹ 1,180.00",,POSTED
15/10/2026,SALES,58,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,"₹ 1,180.00",POSTED
15/10/2026,SALES,89,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,"₹ 1,180.00",,POSTED
15/10/2026,SALES,89,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,"₹ 1,180.00",POSTED
