"Sales Register — Saraswati Automobiles Pvt Ltd · the whole company · 01/04/2026 to 31/03/2027 — invoice-wise with the tax split, which GSTR-1 is checked against"

Date,Voucher,Party,GSTIN,Taxable,CGST,SGST,IGST,Cess,Total
29/10/2026,37,Preeti Sabharwal,,"₹ 1,31,238.10","₹ 3,280.95","₹ 3,280.95",₹ 0.00,₹ 0.00,"₹ 1,52,440.00"
31/10/2026,47,Shalini Kapoor,,"₹ 1,47,828.57","₹ 29,565.72","₹ 29,565.71",₹ 0.00,₹ 0.00,"₹ 2,21,600.00"
04/11/2026,29,,,"₹ 2,020.00",₹ 181.80,₹ 181.80,₹ 0.00,₹ 0.00,"₹ 2,383.60"
04/11/2026,60,,,"₹ 2,020.00",₹ 181.80,₹ 181.80,₹ 0.00,₹ 0.00,"₹ 2,383.60"
05/11/2026,52,Harleen Gill,,"₹ 1,36,432.20","₹ 12,278.90","₹ 12,278.90",₹ 0.00,₹ 0.00,"₹ 1,75,630.00"
07/11/2026,38,Gulshan Arora,,"₹ 69,762.71","₹ 6,278.65","₹ 6,278.64",₹ 0.00,₹ 0.00,"₹ 96,960.00"
11/11/2026,44,Deepak Rawat,,"₹ 69,762.71","₹ 6,278.65","₹ 6,278.64",₹ 0.00,₹ 0.00,"₹ 96,960.00"
12/11/2026,30,,,"₹ 2,020.00",₹ 181.80,₹ 181.80,₹ 0.00,₹ 0.00,"₹ 2,383.60"
12/11/2026,61,,,"₹ 2,020.00",₹ 181.80,₹ 181.80,₹ 0.00,₹ 0.00,"₹ 2,383.60"
15/11/2026,48,Ridge Logistics Pvt Ltd,07AABCR7788K1Z3,"₹ 1,64,372.88","₹ 14,793.56","₹ 14,793.56",₹ 0.00,₹ 0.00,"₹ 2,08,600.00"
19/11/2026,53,Tarun Bakshi,,"₹ 1,64,372.88","₹ 14,793.56","₹ 14,793.56",₹ 0.00,₹ 0.00,"₹ 2,08,600.00"
21/11/2026,39,Ravinder Chadha,,"₹ 54,906.78","₹ 4,941.61","₹ 4,941.61",₹ 0.00,₹ 0.00,"₹ 79,430.00"
24/11/2026,31,,,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00
24/11/2026,62,,,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00
26/11/2026,45,Kritika Malhotra,,"₹ 1,31,238.10","₹ 3,280.95","₹ 3,280.95",₹ 0.00,₹ 0.00,"₹ 1,52,440.00"
28/11/2026,49,Imran Beg,,"₹ 1,36,432.20","₹ 12,278.90","₹ 12,278.90",₹ 0.00,₹ 0.00,"₹ 1,75,630.00"
,TOTAL,,,"₹ 21,62,284.85","₹ 2,10,067.04","₹ 2,10,066.91",₹ 0.00,₹ 0.00,"₹ 29,04,498.80"
