"Job Card Register — workshop, open and closed"

JC No,JC Status,JC Type,JC Date,Promised Date,Closed Date,Customer Name,Mobile No,Model,Reg No,Chassis No,Advisor,Estimate,Final Amount,Part Awaited,PSF Done
JC-0417-24232,DELIVERED,PAID,23/06/2026,24/06/2026,24/06/2026,Mr Pankaj Singh,7428768544,Splendor Plus,DL1SAB4033,MBLHAR0748NK63032,AD-0417-09,"₹ 2,231.00","₹ 2,231.00",N,Y
JC-0417-24233,DELIVERED,PAID,14/07/2026,16/07/2026,16/07/2026,Mr Rohit Tomar,8813981830,Splendor Plus,DL3SFG3233,MBLVID0912NK63033,AD-0417-09,"₹ 3,679.00","₹ 3,679.00",N,Y
JC-0417-24234,DELIVERED,RUNNING_REPAIR,24/06/2026,24/06/2026,26/06/2026,Mrs Swati Ansari,9186117784,Xtreme 125R,DL9SAB1456,MBLHAR0748NK63034,AD-0417-12,"₹ 4,002.00","₹ 4,002.00",N,Y
JC-0417-24235,DELIVERED,PAID,14/07/2026,17/07/2026,15/07/2026,Mr Naushad Sahu,7871440721,Xpulse 200 4V,DL2SER9105,MBLHAR0748NK63035,AD-0417-04,"₹ 4,086.00","₹ 4,086.00",N,Y
JC-0417-24236,DELIVERED,PAID,14/07/2026,15/07/2026,15/07/2026,Mr Kunal Yadav,8289251320,HF Deluxe,DL9SDL3694,MBLHAR0748NK63036,AD-0417-04,"₹ 2,637.00","₹ 2,637.00",N,Y
JC-0417-24237,DELIVERED,RUNNING_REPAIR,14/07/2026,15/07/2026,14/07/2026,Mr Prakash Chatterjee,7260369942,HF Deluxe,DL2SFG5258,MBLKAR0921NK63037,AD-0417-12,"₹ 1,780.00","₹ 1,780.00",N,Y
JC-0417-24238,READY,PAID,29/07/2026,31/07/2026,,Mr Rohit Alam,8299096640,Vida V2 Plus,DL9SAB1766,MBLHAR0748NK63038,AD-0417-12,₹ 973.00,,N,N
JC-0417-24239,OPEN,RUNNING_REPAIR,01/08/2026,01/08/2026,,Mrs Kavita Sheikh,9529129610,Xtreme 125R,DL8SBX8446,MBLVID0912NK63039,AD-0417-12,"₹ 5,304.00",,N,N
JC-0417-24240,READY,RUNNING_REPAIR,01/08/2026,04/08/2026,,Mrs Shabnam Sethi,9989833966,Splendor Plus,DL12SER8724,MBLVID0912NK63040,AD-0417-09,"₹ 4,082.00",,N,N
JC-0417-24241,INVOICED,PAID,09/07/2026,10/07/2026,10/07/2026,Mrs Swati Chatterjee,9047830613,Splendor Plus,DL3SCK3017,MBLKAR0921NK63041,AD-0417-12,"₹ 2,529.00","₹ 2,529.00",N,N
JC-0417-24242,DELIVERED,PAID,12/07/2026,15/07/2026,12/07/2026,Ms Shabnam Solanki,9050607371,Destini 125,DL7SFG2282,MBLVID0912NK63042,AD-0417-12,"₹ 3,089.00","₹ 3,089.00",N,Y
JC-0417-24243,DELIVERED,PAID,11/07/2026,12/07/2026,11/07/2026,Mr Mahesh Sabharwal,8347787350,Xtreme 125R,DL7SER7549,MBLVID0912NK63043,AD-0417-04,"₹ 1,605.00","₹ 1,605.00",N,Y
JC-0417-24244,DELIVERED,PAID,29/06/2026,30/06/2026,30/06/2026,Mr Arif Dubey,8757995736,Splendor Plus,DL3SER3035,MBLPAS0633NK63044,AD-0417-09,"₹ 2,636.00","₹ 2,636.00",N,Y
JC-0417-24245,AWAITING_PARTS,PAID,28/07/2026,28/07/2026,,Mr Rehan Shukla,9009971269,Splendor Plus,DL1SER6992,MBLKAR0921NK63045,AD-0417-12,"₹ 3,450.00",,N,N
JC-0417-24246,OPEN,RUNNING_REPAIR,30/07/2026,02/08/2026,,Ms Swati Yadav,9043109527,Destini 125,DL11SCK2285,MBLKAR0921NK63046,AD-0417-09,"₹ 1,811.00",,N,N
JC-0417-24247,AWAITING_APPROVAL,RUNNING_REPAIR,05/08/2026,08/08/2026,,Mrs Geeta Rathore,8397961451,Splendor Plus,DL3SCK9188,MBLKAR0921NK63047,AD-0417-04,"₹ 1,825.00",,N,N
JC-0417-24248,INVOICED,PAID,24/06/2026,25/06/2026,24/06/2026,Mr Vikas Garg,9867952412,Splendor Plus,DL11SFG2479,MBLKAR0921NK63048,AD-0417-12,"₹ 5,877.00","₹ 5,877.00",N,N
JC-0417-24249,DELIVERED,RUNNING_REPAIR,26/06/2026,26/06/2026,28/06/2026,Mr Rohit Mishra,9624701141,Vida V2 Plus,DL8SFG9453,MBLHAR0748NK63049,AD-0417-12,"₹ 5,530.00","₹ 5,530.00",N,Y
JC-0417-24250,INVOICED,FREE,25/06/2026,27/06/2026,26/06/2026,Mr Rakesh Jain,7779387864,HF Deluxe,DL3SFG4258,MBLKAR0921NK63050,AD-0417-12,₹ 323.00,₹ 323.00,N,N
JC-0417-24251,DELIVERED,PAID,15/07/2026,17/07/2026,17/07/2026,Mr Aditya Reddy,9180596390,Destini 125,DL11SFG8213,MBLKAR0921NK63051,AD-0417-04,"₹ 6,299.00","₹ 6,299.00",N,Y
JC-0417-24252,DELIVERED,PAID,22/06/2026,22/06/2026,23/06/2026,Mr Sandeep Siddiqui,8309985282,HF Deluxe,DL13SBX2348,MBLPAS0633NK63052,AD-0417-12,"₹ 3,027.00","₹ 3,027.00",N,Y
JC-0417-24253,READY,WARRANTY,28/07/2026,31/07/2026,,Mr Satish Kohli,7817656186,Xpulse 200 4V,DL9SFG5642,MBLPAS0633NK63053,AD-0417-12,"₹ 4,052.00",,N,N
JC-0417-24254,DELIVERED,PAID,16/07/2026,16/07/2026,17/07/2026,Mr Gurmeet Rathore,8412251733,HF Deluxe,DL2SER1288,MBLKAR0921NK63054,AD-0417-12,"₹ 2,574.00","₹ 2,574.00",N,Y
JC-0417-24255,DELIVERED,PAID,27/06/2026,28/06/2026,28/06/2026,Mr Umesh Mahto,9152556587,Xpulse 200 4V,DL13SCK3261,MBLHAR0748NK63055,AD-0417-04,"₹ 4,576.00","₹ 4,576.00",N,Y
JC-0417-24256,DELIVERED,PAID,18/07/2026,19/07/2026,18/07/2026,Mr Subhash Iyer,7707729649,HF Deluxe,DL4SER1836,MBLVID0912NK63056,AD-0417-09,"₹ 2,326.00","₹ 2,326.00",N,Y
JC-0417-24257,DELIVERED,ACCIDENT,05/07/2026,05/07/2026,05/07/2026,Ms Priya Qureshi,8781409743,Splendor Plus,DL1SCK3974,MBLPAS0633NK63057,AD-0417-12,"₹ 2,617.00","₹ 2,617.00",N,Y
JC-0417-24258,READY,PAID,31/07/2026,31/07/2026,,Mr Shubham Mittal,8100226033,Xtreme 125R,DL4SFG4974,MBLVID0912NK63058,AD-0417-04,"₹ 3,988.00",,N,N
JC-0417-24259,OPEN,FREE,05/08/2026,06/08/2026,,Mr Suresh Rathore,7254677303,HF Deluxe,DL1SCK8609,MBLVID0912NK63059,AD-0417-09,₹ 559.00,,N,N
JC-0417-24260,INVOICED,WARRANTY,14/07/2026,14/07/2026,16/07/2026,Mr Shubham Verma,9474917635,HF Deluxe,DL9SCK8185,MBLKAR0921NK63060,AD-0417-04,"₹ 4,073.00","₹ 4,073.00",N,N
JC-0417-24261,DELIVERED,FREE,30/06/2026,30/06/2026,30/06/2026,Mr Shubham Mahto,7443772798,Destini 125,DL10SCK9131,MBLVID0912NK63061,AD-0417-09,₹ 230.00,₹ 230.00,N,Y
JC-0417-24262,READY,RUNNING_REPAIR,28/07/2026,29/07/2026,,Mr Tarun Rao,7827894173,Splendor Plus,DL6SDL6080,MBLKAR0921NK63062,AD-0417-04,"₹ 5,043.00",,N,N
JC-0417-24263,DELIVERED,FREE,01/07/2026,02/07/2026,01/07/2026,Mrs Nidhi Agarwal,9044310846,Splendor Plus,DL9SBX8808,MBLHAR0748NK63063,AD-0417-09,₹ 380.00,₹ 380.00,N,Y
JC-0417-24264,DELIVERED,WARRANTY,07/07/2026,10/07/2026,07/07/2026,Mrs Nidhi Rao,9471915330,HF Deluxe,DL5SBX3832,MBLPAS0633NK63064,AD-0417-12,₹ 654.00,₹ 654.00,N,N
JC-0417-24265,INVOICED,FREE,17/07/2026,18/07/2026,19/07/2026,Mr Satish Kohli,8928794394,Vida V2 Plus,DL3SBX3137,MBLVID0912NK63065,AD-0417-04,₹ 437.00,₹ 437.00,N,N
JC-0417-24266,DELIVERED,CAMPAIGN,26/06/2026,29/06/2026,26/06/2026,Mr Nikhil Singhal,9749997141,Xtreme 125R,DL1SFG6732,MBLVID0912NK63066,AD-0417-12,"₹ 2,446.00","₹ 2,446.00",N,Y
JC-0417-24267,DELIVERED,FREE,12/07/2026,13/07/2026,12/07/2026,Ms Priya Banerjee,7662751567,Splendor Plus,DL2SER5116,MBLKAR0921NK63067,AD-0417-12,₹ 200.00,₹ 200.00,N,Y
JC-0417-24268,AWAITING_APPROVAL,PAID,30/07/2026,30/07/2026,,Mrs Kiran Rao,9106833887,Splendor Plus,DL4SBX5755,MBLVID0912NK63068,AD-0417-04,"₹ 5,594.00",,N,N
JC-0417-24269,INVOICED,PAID,14/07/2026,14/07/2026,16/07/2026,Ms Nidhi Bhatia,8024894118,Splendor Plus,DL12SCK6759,MBLHAR0748NK63069,AD-0417-09,₹ 989.00,₹ 989.00,N,N
JC-0417-24270,AWAITING_APPROVAL,PAID,01/08/2026,02/08/2026,,Mrs Farhana Sethi,8167719566,HF Deluxe,DL12SCK3958,MBLHAR0748NK63070,AD-0417-04,"₹ 6,263.00",,N,N
JC-0417-24271,IN_PROGRESS,PAID,29/07/2026,29/07/2026,,Mr Rohit Sharma,8638914960,Destini 125,DL10SDL3090,MBLVID0912NK63071,AD-0417-04,₹ 884.00,,N,N
JC-0417-24272,DELIVERED,PAID,07/07/2026,07/07/2026,09/07/2026,Mr Imran Arora,7279135743,Splendor Plus,DL1SBX7388,MBLPAS0633NK63072,AD-0417-12,"₹ 5,600.00","₹ 5,600.00",N,Y
JC-0417-24273,DELIVERED,PAID,29/06/2026,29/06/2026,29/06/2026,Mrs Jasleen Chauhan,7717545255,Destini 125,DL1SAB7423,MBLVID0912NK63073,AD-0417-12,"₹ 3,459.00","₹ 3,459.00",N,Y
JC-0417-24274,OPEN,RUNNING_REPAIR,03/08/2026,06/08/2026,,Mr Rakesh Ansari,8529265242,Splendor Plus,DL5SER2827,MBLHAR0748NK63074,AD-0417-09,"₹ 3,177.00",,N,N
JC-0417-24275,DELIVERED,PAID,18/07/2026,19/07/2026,19/07/2026,Mr Gaurav Das,8784891569,Vida V2 Plus,DL10SCK9797,MBLKAR0921NK63075,AD-0417-12,"₹ 5,776.00","₹ 5,776.00",N,Y
JC-0417-24276,DELIVERED,FREE,22/06/2026,22/06/2026,22/06/2026,Mr Karan Bhatia,8673671169,Splendor Plus,DL3SCK3418,MBLPAS0633NK63076,AD-0417-09,₹ 194.00,₹ 194.00,N,N
JC-0417-24277,DELIVERED,FREE,25/06/2026,26/06/2026,27/06/2026,Mr Ramkumar Verma,8352224089,HF Deluxe,DL13SCK7976,MBLHAR0748NK63077,AD-0417-04,₹ 504.00,₹ 504.00,N,Y
JC-0417-24278,DELIVERED,PAID,29/07/2026,29/07/2026,29/07/2026,Mrs Shabnam Tomar,8589258967,Xpulse 200 4V,DL2SDL4736,MBLVID0912NK63078,AD-0417-12,"₹ 5,123.00","₹ 5,123.00",N,Y
JC-0417-24279,DELIVERED,RUNNING_REPAIR,28/06/2026,29/06/2026,29/06/2026,Mr Sandeep Kumar,8029165018,Vida V2 Plus,DL1SDL1843,MBLPAS0633NK63079,AD-0417-09,"₹ 5,984.00","₹ 5,984.00",N,Y
JC-0417-24280,DELIVERED,FREE,03/08/2026,06/08/2026,04/08/2026,Ms Seema Sabharwal,7847168145,Splendor Plus,DL1SFG3413,MBLPAS0633NK63080,AD-0417-04,₹ 447.00,₹ 447.00,N,N
JC-0417-24281,DELIVERED,PAID,06/07/2026,08/07/2026,07/07/2026,Mr Jaspal Chauhan,8054676204,Splendor Plus,DL10SDL8260,MBLHAR0748NK63081,AD-0417-12,"₹ 2,121.00","₹ 2,121.00",N,Y
JC-0417-24282,AWAITING_APPROVAL,FREE,31/07/2026,03/08/2026,,Mr Shyam Tripathi,9592479245,Vida V2 Plus,DL13SBX5400,MBLKAR0921NK63082,AD-0417-09,₹ 374.00,,N,N
JC-0417-24283,IN_PROGRESS,WARRANTY,31/07/2026,01/08/2026,,Mr Deepak Das,8580239680,Vida V2 Plus,DL4SBX5595,MBLKAR0921NK63083,AD-0417-04,"₹ 5,624.00",,N,N
JC-0417-24284,DELIVERED,PAID,26/07/2026,27/07/2026,27/07/2026,Mr Anil Solanki,9203039718,Splendor Plus,DL10SCK7390,MBLPAS0633NK63084,AD-0417-04,"₹ 2,622.00","₹ 2,622.00",N,Y
JC-0417-24285,IN_PROGRESS,FREE,30/07/2026,01/08/2026,,Mrs Simran Ansari,9842741266,Xtreme 125R,DL12SFG6894,MBLHAR0748NK63085,AD-0417-12,₹ 521.00,,N,N
JC-0417-24286,DELIVERED,FREE,07/07/2026,09/07/2026,07/07/2026,Mr Aditya Prasad,8141695462,Xtreme 125R,DL4SAB5920,MBLHAR0748NK63086,AD-0417-09,₹ 339.00,₹ 339.00,N,Y
JC-0417-24287,DELIVERED,WARRANTY,17/07/2026,20/07/2026,17/07/2026,Mr Ankit Khan,8327730220,HF Deluxe,DL6SCK4692,MBLVID0912NK63087,AD-0417-12,"₹ 4,672.00","₹ 4,672.00",N,Y
JC-0417-24288,AWAITING_APPROVAL,RUNNING_REPAIR,04/08/2026,05/08/2026,,Ms Neha Agarwal,9303786663,HF Deluxe,DL8SDL6560,MBLKAR0921NK63088,AD-0417-12,"₹ 3,025.00",,N,N
JC-0417-24289,DELIVERED,WARRANTY,29/06/2026,30/06/2026,29/06/2026,Ms Usha Nair,9572644067,Splendor Plus,DL6SAB6322,MBLHAR0748NK63089,AD-0417-12,"₹ 1,445.00","₹ 1,445.00",N,Y
JC-0417-24290,DELIVERED,RUNNING_REPAIR,29/07/2026,01/08/2026,29/07/2026,Mrs Nidhi Agarwal,8688156205,HF Deluxe,DL3SDL8720,MBLPAS0633NK63090,AD-0417-09,"₹ 1,701.00","₹ 1,701.00",N,N
JC-0417-24291,DELIVERED,WARRANTY,17/07/2026,17/07/2026,17/07/2026,Mr Ankit Chatterjee,8727015087,Xtreme 125R,DL6SFG3609,MBLVID0912NK63091,AD-0417-04,"₹ 1,975.00","₹ 1,975.00",N,Y
JC-0417-24292,DELIVERED,PAID,02/08/2026,05/08/2026,03/08/2026,Ms Bhavna Mahto,7791189252,Splendor Plus,DL12SDL4581,MBLKAR0921NK63092,AD-0417-04,₹ 834.00,₹ 834.00,N,N
JC-0417-24293,DELIVERED,FREE,05/08/2026,07/08/2026,05/08/2026,Mr Ashok Singhal,9577965135,Splendor Plus,DL3SDL3509,MBLKAR0921NK63093,AD-0417-09,₹ 522.00,₹ 522.00,N,Y
JC-0417-24294,DELIVERED,PAID,06/07/2026,08/07/2026,07/07/2026,Mr Yogesh Gupta,9149164127,Splendor Plus,DL12SBX9418,MBLVID0912NK63094,AD-0417-04,"₹ 1,597.00","₹ 1,597.00",N,Y
JC-0417-24295,INVOICED,FREE,26/07/2026,27/07/2026,28/07/2026,Mr Prakash Pandey,9434243750,HF Deluxe,DL7SFG2807,MBLHAR0748NK63095,AD-0417-09,₹ 281.00,₹ 281.00,N,N
Total,,,,,,104 job cards,,,,,,,,,
