Enquiry Register — all open and closed leads

Enquiry No,Enquiry Date,Source,Grade,Stage,Customer Name,Mobile No,Model Interested,Sales Exec,First Contact,Last Contact,Next Follow Up,Lost Reason,Converted Deal
ENQ-0417-9208,09/07/2026,WALKIN,COLD,NEGOTIATION,Mrs Geeta Banerjee,9133239842,HER-HFD-100,SA-0417-29,11/07/2026,09/07/2026,31/07/2026,,
ENQ-0417-9209,16/07/2026,PHONE,WARM,CONTACTED,Mr Faisal Chatterjee,7421052445,HER-SPL-PLUS,SA-0417-27,16/07/2026,04/08/2026,06/08/2026,,
ENQ-0417-9210,20/07/2026,WALKIN,COLD,NEGOTIATION,Mr Jaspal Agarwal,9039247758,HER-HFD-100,SA-0417-23,20/07/2026,21/07/2026,05/08/2026,,
ENQ-0417-9211,20/07/2026,CAMPAIGN,HOT,NEGOTIATION,Mrs Nidhi Das,8251198127,HER-SPL-PLUS,SA-0417-26,20/07/2026,01/08/2026,07/08/2026,,
ENQ-0417-9212,02/08/2026,WALKIN,HOT,QUOTED,Mr Jaspal Sheikh,9932971832,HER-SPL-PLUS,SA-0417-24,02/08/2026,03/08/2026,10/08/2026,,
ENQ-0417-9213,27/07/2026,WALKIN,COLD,CONTACTED,Mrs Kiran Das,8493845724,HER-SPL-PLUS,SA-0417-26,27/07/2026,31/07/2026,12/08/2026,,
ENQ-0417-9214,03/08/2026,WEB,WARM,QUOTED,Mr Naushad Chatterjee,9918203708,HER-HFD-100,SA-0417-19,03/08/2026,03/08/2026,09/08/2026,,
ENQ-0417-9215,23/07/2026,WALKIN,WARM,NEW,Mrs Harleen Singhal,8179744417,HER-HFD-100,SA-0417-27,,,28/07/2026,,
ENQ-0417-9216,13/07/2026,WALKIN,COLD,LOST,Mr Kunal Pandey,9032015475,HER-SPL-PLUS,SA-0417-27,13/07/2026,22/07/2026,,Went to another dealer,
ENQ-0417-9217,02/08/2026,PHONE,HOT,CONTACTED,Mr Jaspal Kumar,9716321481,HER-SPL-PLUS,SA-0417-23,02/08/2026,04/08/2026,01/08/2026,,
ENQ-0417-9218,14/07/2026,WALKIN,WARM,CONTACTED,Mr Prakash Alam,9147001069,HER-XPL-200,SA-0417-24,14/07/2026,24/07/2026,31/07/2026,,
ENQ-0417-9219,15/07/2026,WALKIN,WARM,QUOTED,Mr Anil Verma,9613844690,HER-HFD-100,SA-0417-24,15/07/2026,23/07/2026,03/08/2026,,
ENQ-0417-9220,14/07/2026,WEB,WARM,CONTACTED,Mr Shubham Sabharwal,9447739641,HER-SPL-PLUS,SA-0417-26,14/07/2026,30/07/2026,14/08/2026,,
ENQ-0417-9221,20/07/2026,PHONE,WARM,LOST,Mr Sandeep Bhatia,7612488867,HER-DST-125,SA-0417-27,20/07/2026,29/07/2026,,Postponed purchase,
ENQ-0417-9222,15/07/2026,WALKIN,WARM,BOOKED,Mr Nikhil Bhatia,9004267767,HER-SPL-PLUS,SA-0417-21,15/07/2026,17/07/2026,,,
ENQ-0417-9223,30/07/2026,EXCHANGE,COLD,NEW,Mr Deepak Dubey,9081561365,HER-HFD-100,SA-0417-27,,,11/08/2026,,
ENQ-0417-9224,26/07/2026,WALKIN,WARM,QUOTED,Mr Tarun Sabharwal,7301334982,HER-SPL-PLUS,SA-0417-26,26/07/2026,05/08/2026,27/07/2026,,
ENQ-0417-9225,09/07/2026,WALKIN,WARM,QUOTED,Mr Deepak Dubey,9459955853,HER-XPL-200,SA-0417-27,09/07/2026,29/07/2026,27/07/2026,,
ENQ-0417-9226,07/07/2026,OEM_PORTAL,COLD,LOST,Mr Piyush Mittal,9562157098,HER-HFD-100,SA-0417-29,07/07/2026,25/07/2026,,No response after repeated calls,
ENQ-0417-9227,19/07/2026,WALKIN,WARM,CONTACTED,Mr Shubham Bhatia,7223890755,HER-SPL-PLUS,SA-0417-27,19/07/2026,22/07/2026,31/07/2026,,
ENQ-0417-9228,14/07/2026,WALKIN,COLD,TEST_RIDE,Mr Pankaj Rao,9365785713,HER-XPL-200,SA-0417-27,14/07/2026,14/07/2026,10/08/2026,,
ENQ-0417-9229,20/07/2026,REFERRAL,COLD,LOST,Mr Nitin Singh,8333762284,HER-SPL-PLUS,SA-0417-25,20/07/2026,22/07/2026,,Price too high,
ENQ-0417-9230,27/07/2026,OEM_PORTAL,COLD,LOST,Mr Gurmeet Rathore,9508649878,HER-HFD-100,SA-0417-26,27/07/2026,31/07/2026,,Went to another dealer,
ENQ-0417-9231,29/07/2026,WALKIN,COLD,BOOKED,Mr Ravi Tripathi,8652812471,HER-XPL-200,SA-0417-24,29/07/2026,01/08/2026,,,
ENQ-0417-9232,18/07/2026,PHONE,WARM,BOOKED,Mr Sunil Sheikh,9326111831,HER-XTR-125R,SA-0417-19,18/07/2026,18/07/2026,,,
ENQ-0417-9233,23/07/2026,WALKIN,WARM,NEGOTIATION,Mr Ashok Gupta,9880049025,HER-XTR-125R,SA-0417-23,23/07/2026,25/07/2026,03/08/2026,,
ENQ-0417-9234,29/07/2026,PHONE,HOT,BOOKED,Mrs Rekha Ghosh,9438741560,HER-XTR-125R,SA-0417-23,29/07/2026,29/07/2026,,,
ENQ-0417-9235,01/08/2026,PHONE,COLD,BOOKED,Mrs Swati Agarwal,7518231758,HER-SPL-PLUS,SA-0417-19,03/08/2026,05/08/2026,,,
ENQ-0417-9236,26/07/2026,OEM_PORTAL,COLD,NEGOTIATION,Mr Harpreet Gupta,7589115670,HER-SPL-PLUS,SA-0417-29,26/07/2026,28/07/2026,24/07/2026,,
ENQ-0417-9237,19/07/2026,WEB,HOT,TEST_RIDE,Mr Subhash Tomar,8470977775,HER-SPL-PLUS,SA-0417-23,19/07/2026,23/07/2026,09/08/2026,,
ENQ-0417-9238,20/07/2026,WALKIN,HOT,BOOKED,Mr Jaspal Mishra,9691820396,HER-SPL-PLUS,SA-0417-29,20/07/2026,26/07/2026,,,
ENQ-0417-9239,10/07/2026,PHONE,HOT,QUOTED,Ms Shalini Sharma,8199658585,HER-SPL-PLUS,SA-0417-26,10/07/2026,02/08/2026,26/07/2026,,
ENQ-0417-9240,22/07/2026,WALKIN,COLD,QUOTED,Ms Anjali Alam,9264018323,HER-SPL-PLUS,SA-0417-23,22/07/2026,28/07/2026,01/08/2026,,
ENQ-0417-9241,12/07/2026,PHONE,WARM,QUOTED,Mr Karan Garg,8617221411,HER-HFD-100,SA-0417-24,12/07/2026,27/07/2026,10/08/2026,,
ENQ-0417-9242,20/07/2026,OEM_PORTAL,COLD,QUOTED,Mr Dinesh Sharma,9973764933,HER-SPL-PLUS,SA-0417-29,20/07/2026,30/07/2026,06/08/2026,,
ENQ-0417-9243,26/07/2026,WALKIN,HOT,CONTACTED,Mr Aditya Shukla,9164605898,HER-XTR-125R,SA-0417-26,26/07/2026,26/07/2026,13/08/2026,,
ENQ-0417-9244,27/07/2026,WALKIN,WARM,QUOTED,Mr Sourav Chadha,8721322585,HER-HFD-100,SA-0417-26,27/07/2026,05/08/2026,06/08/2026,,
ENQ-0417-9245,21/07/2026,WALKIN,WARM,NEW,Mr Piyush Tripathi,9801889382,HER-DST-125,SA-0417-23,,,14/08/2026,,
ENQ-0417-9246,31/07/2026,WALKIN,HOT,LOST,Ms Kavita Malhotra,7435463122,HER-DST-125,SA-0417-23,31/07/2026,31/07/2026,,Went to another dealer,
ENQ-0417-9247,02/08/2026,CAMPAIGN,WARM,CONTACTED,Ms Mandeep Menon,9034563960,HER-DST-125,SA-0417-19,03/08/2026,03/08/2026,03/08/2026,,
ENQ-0417-9248,25/07/2026,WALKIN,WARM,CONTACTED,Mr Piyush Bansal,7356572521,HER-HFD-100,SA-0417-29,25/07/2026,26/07/2026,25/07/2026,,
ENQ-0417-9249,08/07/2026,REFERRAL,WARM,NEW,Mr Deepak Verma,7925264696,HER-SPL-PLUS,SA-0417-19,,,10/08/2026,,
ENQ-0417-9250,03/08/2026,CAMPAIGN,WARM,CONTACTED,Mr Chandan Verma,8822636130,HER-XPL-200,SA-0417-19,03/08/2026,04/08/2026,09/08/2026,,
ENQ-0417-9251,14/07/2026,WEB,COLD,NEGOTIATION,Ms Usha Rathore,8467826150,HER-SPL-PLUS,SA-0417-19,14/07/2026,15/07/2026,07/08/2026,,
ENQ-0417-9252,24/07/2026,WALKIN,COLD,CONTACTED,Mrs Pooja Mittal,8453625924,HER-SPL-PLUS,SA-0417-26,24/07/2026,01/08/2026,10/08/2026,,
ENQ-0417-9253,14/07/2026,PHONE,HOT,CONTACTED,Mr Rehan Shukla,8552534889,HER-XTR-125R,SA-0417-24,14/07/2026,25/07/2026,11/08/2026,,
ENQ-0417-9254,14/07/2026,WALKIN,HOT,CONTACTED,Mr Umesh Khurana,9314429815,HER-SPL-PLUS,SA-0417-21,14/07/2026,25/07/2026,09/08/2026,,
ENQ-0417-9255,29/07/2026,WALKIN,WARM,LOST,Mr Varun Mahto,7004412824,HER-XPL-200,SA-0417-24,29/07/2026,03/08/2026,,Bought a competitor model,
ENQ-0417-9256,15/07/2026,CAMPAIGN,COLD,CONTACTED,Mr Yogesh Menon,7233475354,HER-HFD-100,SA-0417-23,15/07/2026,02/08/2026,14/08/2026,,
ENQ-0417-9257,28/07/2026,OEM_PORTAL,WARM,CONTACTED,Mr Naushad Singh,8796497630,VID-V2-PLUS,SA-0417-29,29/07/2026,03/08/2026,13/08/2026,,
ENQ-0417-9258,28/07/2026,REFERRAL,COLD,QUOTED,Mr Arif Singhal,8399219418,HER-XTR-125R,SA-0417-23,28/07/2026,01/08/2026,26/07/2026,,
ENQ-0417-9259,08/07/2026,WALKIN,WARM,LOST,Mr Imran Kohli,8365250799,HER-XTR-125R,SA-0417-23,08/07/2026,16/07/2026,,No response after repeated calls,
ENQ-0417-9260,01/08/2026,WALKIN,WARM,CONTACTED,Mr Faisal Gupta,9402366347,HER-SPL-PLUS,SA-0417-26,01/08/2026,04/08/2026,10/08/2026,,
ENQ-0417-9261,10/07/2026,WALKIN,WARM,NEW,Mr Sandeep Mishra,9727211528,HER-XTR-125R,SA-0417-23,,,08/08/2026,,
ENQ-0417-9262,18/07/2026,PHONE,WARM,NEW,Mr Prakash Singh,9600874271,HER-XPL-200,SA-0417-27,,,13/08/2026,,
ENQ-0417-9263,25/07/2026,WALKIN,WARM,BOOKED,Mrs Usha Rao,7184206594,HER-HFD-100,SA-0417-25,25/07/2026,29/07/2026,,,
ENQ-0417-9264,15/07/2026,WEB,COLD,CONTACTED,Mr Shyam Pandey,9763900437,HER-HFD-100,SA-0417-23,15/07/2026,27/07/2026,11/08/2026,,
ENQ-0417-9265,16/07/2026,PHONE,COLD,QUOTED,Mr Bhupinder Mishra,7925390954,HER-XTR-125R,SA-0417-21,16/07/2026,02/08/2026,31/07/2026,,
ENQ-0417-9266,20/07/2026,WALKIN,WARM,NEW,Mr Shyam Singhal,9432810464,HER-HFD-100,SA-0417-23,,,03/08/2026,,
ENQ-0417-9267,22/07/2026,WALKIN,WARM,LOST,Mr Santosh Tomar,8144094576,HER-SPL-PLUS,SA-0417-23,22/07/2026,26/07/2026,,Postponed purchase,
ENQ-0417-9268,10/07/2026,WALKIN,WARM,TEST_RIDE,Mr Jaspal Bansal,8041041116,HER-SPL-PLUS,SA-0417-26,10/07/2026,25/07/2026,05/08/2026,,
ENQ-0417-9269,27/07/2026,REFERRAL,COLD,TEST_RIDE,Mr Aditya Chatterjee,9817789333,HER-SPL-PLUS,SA-0417-27,27/07/2026,01/08/2026,29/07/2026,,
ENQ-0417-9270,30/07/2026,REFERRAL,COLD,TEST_RIDE,Mr Ravi Sheikh,8546595034,HER-XTR-125R,SA-0417-19,30/07/2026,31/07/2026,13/08/2026,,
ENQ-0417-9271,10/07/2026,WALKIN,COLD,CONTACTED,Mr Harpreet Sheikh,8391917816,HER-SPL-PLUS,SA-0417-29,10/07/2026,04/08/2026,07/08/2026,,
ENQ-0417-9272,15/07/2026,PHONE,COLD,CONTACTED,Mr Tarun Rao,7681724706,HER-HFD-100,SA-0417-24,15/07/2026,30/07/2026,08/08/2026,,
ENQ-0417-9273,09/07/2026,WEB,WARM,CONTACTED,Mr Ramkumar Khan,8921162682,HER-HFD-100,SA-0417-29,09/07/2026,03/08/2026,08/08/2026,,
ENQ-0417-9274,07/07/2026,WALKIN,WARM,QUOTED,Mr Sourav Shukla,7401317076,HER-SPL-PLUS,SA-0417-29,07/07/2026,16/07/2026,28/07/2026,,
ENQ-0417-9275,11/07/2026,WEB,WARM,CONTACTED,Mr Sandeep Bansal,9241870402,HER-XTR-125R,SA-0417-23,11/07/2026,12/07/2026,30/07/2026,,
ENQ-0417-9276,14/07/2026,WALKIN,COLD,NEGOTIATION,Mr Mohit Sabharwal,8932527838,HER-HFD-100,SA-0417-26,14/07/2026,29/07/2026,06/08/2026,,
ENQ-0417-9277,05/08/2026,REFERRAL,WARM,CONTACTED,Mr Faisal Pillai,8564105311,HER-SPL-PLUS,SA-0417-19,05/08/2026,05/08/2026,04/08/2026,,
ENQ-0417-9278,01/08/2026,OEM_PORTAL,WARM,CONTACTED,Mr Karan Chauhan,9489848278,HER-XPL-200,SA-0417-24,01/08/2026,01/08/2026,11/08/2026,,
ENQ-0417-9279,20/07/2026,WALKIN,WARM,LOST,Mr Umesh Khurana,8412151551,VID-V2-PLUS,SA-0417-19,20/07/2026,30/07/2026,,Postponed purchase,
ENQ-0417-9280,23/07/2026,WALKIN,HOT,TEST_RIDE,Mrs Farhana Rao,9082384594,HER-XPL-200,SA-0417-27,23/07/2026,27/07/2026,04/08/2026,,
ENQ-0417-9281,18/07/2026,WALKIN,WARM,CONTACTED,Mr Kunal Goel,9449834485,HER-DST-125,SA-0417-19,18/07/2026,20/07/2026,05/08/2026,,
ENQ-0417-9282,23/07/2026,WALKIN,WARM,BOOKED,Mrs Geeta Mahto,8857615642,HER-HFD-100,SA-0417-26,23/07/2026,30/07/2026,,,
ENQ-0417-9283,17/07/2026,WALKIN,HOT,LOST,Mr Ashok Goel,8346963596,HER-XTR-125R,SA-0417-29,17/07/2026,04/08/2026,,Price too high,
ENQ-0417-9284,30/07/2026,WALKIN,HOT,TEST_RIDE,Mr Dhiraj Mishra,9400309921,HER-XTR-125R,SA-0417-23,30/07/2026,31/07/2026,09/08/2026,,
ENQ-0417-9285,05/08/2026,WALKIN,COLD,TEST_RIDE,Mr Aditya Agarwal,7939682645,HER-SPL-PLUS,SA-0417-23,05/08/2026,05/08/2026,29/07/2026,,
ENQ-0417-9286,27/07/2026,OEM_PORTAL,COLD,NEGOTIATION,Mrs Nidhi Das,8483757009,HER-SPL-PLUS,SA-0417-29,27/07/2026,30/07/2026,10/08/2026,,
ENQ-0417-9287,28/07/2026,OEM_PORTAL,WARM,LOST,Mr Imran Pillai,9922574336,HER-HFD-100,SA-0417-23,28/07/2026,04/08/2026,,Went to another dealer,
ENQ-0417-9288,11/07/2026,OEM_PORTAL,WARM,TEST_RIDE,Mr Aditya Agarwal,9141694631,HER-SPL-PLUS,SA-0417-26,11/07/2026,25/07/2026,13/08/2026,,
ENQ-0417-9289,03/08/2026,PHONE,WARM,TEST_RIDE,Mr Sunil Chatterjee,7139119784,HER-HFD-100,SA-0417-27,03/08/2026,03/08/2026,12/08/2026,,
ENQ-0417-9290,21/07/2026,WALKIN,HOT,NEW,Mr Naveen Qureshi,9271682279,HER-HFD-100,SA-0417-23,,,31/07/2026,,
ENQ-0417-9291,11/07/2026,WALKIN,WARM,LOST,Ms Simran Rathore,7438568229,HER-SPL-PLUS,SA-0417-19,11/07/2026,03/08/2026,,Bought a competitor model,
ENQ-0417-9292,10/07/2026,WALKIN,HOT,LOST,Mr Brijesh Rathore,8733513815,HER-HFD-100,SA-0417-29,10/07/2026,02/08/2026,,Went to another dealer,
ENQ-0417-9293,10/07/2026,OEM_PORTAL,WARM,NEGOTIATION,Mr Aditya Panwar,9492165661,HER-XTR-125R,SA-0417-23,10/07/2026,22/07/2026,01/08/2026,,
ENQ-0417-9294,08/07/2026,OEM_PORTAL,COLD,NEGOTIATION,Mr Shubham Chauhan,8713558659,HER-SPL-PLUS,SA-0417-27,08/07/2026,25/07/2026,03/08/2026,,
ENQ-0417-9295,29/07/2026,WALKIN,WARM,CONTACTED,Mr Tarun Kumar,9516682297,HER-XTR-125R,SA-0417-29,29/07/2026,03/08/2026,07/08/2026,,
ENQ-0417-9296,11/07/2026,OEM_PORTAL,COLD,CONTACTED,Mr Imran Sahu,9951910433,HER-HFD-100,SA-0417-27,11/07/2026,26/07/2026,03/08/2026,,
ENQ-0417-9297,01/08/2026,WALKIN,COLD,NEGOTIATION,Mr Jaspal Sheikh,8433194350,HER-SPL-PLUS,SA-0417-24,03/08/2026,03/08/2026,07/08/2026,,
ENQ-0417-9298,18/07/2026,WALKIN,HOT,NEW,Mr Kunal Iyer,9331553657,HER-HFD-100,SA-0417-29,,,11/08/2026,,
ENQ-0417-9299,29/07/2026,WALKIN,COLD,CONTACTED,Mrs Bhavna Chadha,7538099343,HER-SPL-PLUS,SA-0417-23,29/07/2026,03/08/2026,03/08/2026,,
ENQ-0417-9300,22/07/2026,OEM_PORTAL,COLD,LOST,Mr Aditya Pandey,7676561743,HER-SPL-PLUS,SA-0417-23,22/07/2026,05/08/2026,,Postponed purchase,
ENQ-0417-9301,12/07/2026,WEB,WARM,QUOTED,Mrs Harleen Sabharwal,9553877113,HER-HFD-100,SA-0417-24,14/07/2026,25/07/2026,25/07/2026,,
ENQ-0417-9302,29/07/2026,WALKIN,COLD,CONTACTED,Mr Harpreet Agarwal,7723598755,HER-HFD-100,SA-0417-21,30/07/2026,30/07/2026,03/08/2026,,
ENQ-0417-9303,20/07/2026,WALKIN,COLD,NEW,Mrs Shalini Sheikh,8630603226,HER-XTR-125R,SA-0417-27,,,29/07/2026,,
ENQ-0417-9304,03/08/2026,WALKIN,COLD,NEW,Mrs Preeti Rathore,8898117960,HER-HFD-100,SA-0417-29,,,28/07/2026,,
ENQ-0417-9305,07/07/2026,EXCHANGE,HOT,NEW,Mr Vikas Khurana,8035064183,HER-XTR-125R,SA-0417-29,,,06/08/2026,,
ENQ-0417-9306,12/07/2026,WALKIN,WARM,QUOTED,Mrs Kavita Pillai,9368636684,HER-SPL-PLUS,SA-0417-24,12/07/2026,17/07/2026,11/08/2026,,
ENQ-0417-9307,27/07/2026,PHONE,WARM,NEGOTIATION,Mr Aditya Nair,9767161493,HER-SPL-PLUS,SA-0417-26,27/07/2026,01/08/2026,14/08/2026,,
ENQ-0417-9308,27/07/2026,WALKIN,HOT,BOOKED,Mr Ankit Sabharwal,9980650905,HER-SPL-PLUS,SA-0417-27,27/07/2026,02/08/2026,,,
ENQ-0417-9309,12/07/2026,WALKIN,WARM,LOST,Mr Sourav Agarwal,9345362436,HER-SPL-PLUS,SA-0417-24,12/07/2026,31/07/2026,,Went to another dealer,
ENQ-0417-9310,07/07/2026,OEM_PORTAL,HOT,LOST,Mrs Farhana Siddiqui,8386855306,HER-SPL-PLUS,SA-0417-29,07/07/2026,20/07/2026,,Price too high,
ENQ-0417-9311,08/07/2026,WALKIN,HOT,CONTACTED,Mr Karan Chauhan,9126268709,HER-SPL-PLUS,SA-0417-29,08/07/2026,13/07/2026,10/08/2026,,
ENQ-0417-9312,09/07/2026,WALKIN,COLD,QUOTED,Mr Vinod Tiwari,9811371110,VID-V2-PLUS,SA-0417-24,09/07/2026,24/07/2026,14/08/2026,,
ENQ-0417-9313,09/07/2026,OEM_PORTAL,WARM,LOST,Mr Santosh Siddiqui,7941672164,HER-SPL-PLUS,SA-0417-24,09/07/2026,24/07/2026,,No response after repeated calls,
ENQ-0417-9314,02/08/2026,EXCHANGE,HOT,QUOTED,Mr Nitin Bhatia,8728782659,HER-DST-125,SA-0417-19,02/08/2026,04/08/2026,11/08/2026,,
ENQ-0417-9315,30/07/2026,WALKIN,WARM,LOST,Mr Gaurav Reddy,8263531724,HER-SPL-PLUS,SA-0417-29,30/07/2026,31/07/2026,,Postponed purchase,
ENQ-0417-9316,30/07/2026,CAMPAIGN,HOT,QUOTED,Mrs Priya Goel,7540402441,HER-HFD-100,SA-0417-23,30/07/2026,02/08/2026,03/08/2026,,
ENQ-0417-9317,10/07/2026,REFERRAL,COLD,CONTACTED,Mrs Neha Khan,8482833310,HER-SPL-PLUS,SA-0417-26,10/07/2026,17/07/2026,01/08/2026,,
ENQ-0417-9318,22/07/2026,WALKIN,HOT,BOOKED,Mr Ashok Yadav,8447695569,HER-DST-125,SA-0417-27,22/07/2026,04/08/2026,,,
ENQ-0417-9319,18/07/2026,WALKIN,WARM,BOOKED,Mrs Kiran Bhatia,8594023636,HER-HFD-100,SA-0417-29,18/07/2026,30/07/2026,,,
ENQ-0417-9320,18/07/2026,WALKIN,WARM,TEST_RIDE,Mrs Harleen Chatterjee,9892476570,HER-SPL-PLUS,SA-0417-21,18/07/2026,19/07/2026,05/08/2026,,
ENQ-0417-9321,19/07/2026,CAMPAIGN,WARM,NEGOTIATION,Mr Ashok Tomar,9753406682,HER-HFD-100,SA-0417-26,19/07/2026,24/07/2026,08/08/2026,,
ENQ-0417-9322,09/07/2026,WALKIN,WARM,LOST,Mr Chandan Tomar,7257065162,HER-DST-125,SA-0417-19,11/07/2026,13/07/2026,,Finance not approved,
ENQ-0417-9323,24/07/2026,WALKIN,COLD,CONTACTED,Mr Ankit Goel,8480573840,HER-SPL-PLUS,SA-0417-26,24/07/2026,29/07/2026,26/07/2026,,
ENQ-0417-9324,04/08/2026,WALKIN,COLD,TEST_RIDE,Mr Sandeep Iyer,9776327527,HER-SPL-PLUS,SA-0417-24,04/08/2026,04/08/2026,06/08/2026,,
ENQ-0417-9325,02/08/2026,WALKIN,WARM,NEGOTIATION,Mr Deepak Singhal,7777176984,HER-SPL-PLUS,SA-0417-23,04/08/2026,05/08/2026,10/08/2026,,
ENQ-0417-9326,22/07/2026,PHONE,WARM,QUOTED,Mr Gurmeet Yadav,8658666074,HER-HFD-100,SA-0417-19,22/07/2026,05/08/2026,13/08/2026,,
ENQ-0417-9327,08/07/2026,PHONE,HOT,LOST,Mr Subhash Sabharwal,8512660610,HER-XTR-125R,SA-0417-23,08/07/2026,16/07/2026,,Price too high,
ENQ-0417-9328,19/07/2026,OEM_PORTAL,COLD,CONTACTED,Mrs Bhavna Sheikh,7530557030,VID-V2-PLUS,SA-0417-29,19/07/2026,05/08/2026,24/07/2026,,
ENQ-0417-9329,29/07/2026,WALKIN,WARM,TEST_RIDE,Mr Brijesh Kohli,9449150856,HER-SPL-PLUS,SA-0417-19,29/07/2026,02/08/2026,09/08/2026,,
ENQ-0417-9330,13/07/2026,PHONE,WARM,TEST_RIDE,Mr Yogesh Panwar,9431888925,HER-SPL-PLUS,SA-0417-27,13/07/2026,19/07/2026,12/08/2026,,
ENQ-0417-9331,31/07/2026,OEM_PORTAL,HOT,NEGOTIATION,Mrs Rekha Solanki,8085747074,HER-SPL-PLUS,SA-0417-29,31/07/2026,31/07/2026,11/08/2026,,
Total,,,,,141 enquiries,,,,,,,,
